file,width,height,word_count,mean_conf,text_area_ratio
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/quality_irrigation_menu.png,780,53,8,61.28,0.076609
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/quality_irrigation_header.png,780,181,3,92.29,0.016079
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/command_blue_menu.png,780,53,8,70.81,0.076512
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/light_menu.png,780,53,7,48.72,0.058902
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/engineering_bronze_header.png,780,184,38,83.0,0.124289
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/science_cyan_header.png,780,181,39,81.32,0.123318
/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/command_aurora_menu.png,780,53,7,66.75,0.073682
